"Страница входа, ур. 1","Страница входа, ур. 2","Страница входа, ур. 3","Страница входа, ур. 4","Страница входа","Источник трафика (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"https://tempus.ru/","Не определено","Не определено","Не определено","https://tempus.ru/","Яндекс","Не определено","1149","1010","0.18189730200174065","5.873803307223673","00:04:55","11","605928.0","0.01089108910891089"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/muzhskie/","https://tempus.ru/catalog/watches/muzhskie/","Яндекс","Не определено","1131","1077","0.03183023872679045","2.5552608311229","00:02:12","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/vostok/","https://tempus.ru/catalog/watches/vostok/amfibiya/_710469/?ybaip=1","Яндекс: Директ","Не определено","1126","937","0.1989342806394316","1.9928952042628774","00:01:29","1","7570.0","0.0010672358591248667"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/udaroprochnost/","Google","Не определено","1124","1124","0.0035587188612099642","2.8362989323843415","00:03:01","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/","Google","Не определено","1111","1111","9.000900090009E-4","2.8604860486048604","00:02:58","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/order/","Не определено","Не определено","https://tempus.ru/order/","Яндекс: Директ","Не определено","1097","430","0.13309024612579762","4.63081130355515","00:05:59","72","1557033.0","0.14883720930232558"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/filter/","https://tempus.ru/catalog/watches/filter/brand-is-orient/apply/?ybaip=1","Яндекс: Директ","Не определено","1080","805","0.1824074074074074","3.814814814814815","00:03:01","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/kvartsevye/","Google","Не определено","1062","1062","0.003766478342749529","2.8625235404896423","00:03:14","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/ehlektronnye/","Google","Не определено","1047","1047","0.0066857688634192934","2.840496657115568","00:03:04","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/orient/","https://tempus.ru/catalog/watches/orient/muzhskie/","Яндекс","Не определено","1006","1005","0.0","2.4224652087475147","00:01:52","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/muzhskie/","https://tempus.ru/catalog/watches/muzhskie/","Google","Не определено","1002","856","0.04590818363273453","4.172654690618763","00:04:02","6","129163.0","0.007009345794392523"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/muzhskie/","https://tempus.ru/catalog/watches/muzhskie/kvartsevye/","Яндекс","Не определено","998","978","0.011022044088176353","2.3226452905811623","00:01:50","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/muzhskie/","https://tempus.ru/catalog/watches/muzhskie/udaroprochnost/wr30m/","Яндекс","Не определено","987","969","0.017223910840932118","2.4224924012158056","00:02:01","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/zhenskie/","https://tempus.ru/catalog/watches/zhenskie/tissot/","Яндекс","Не определено","987","987","0.002026342451874367","2.4083080040526847","00:02:03","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/ehlektronnye/","mail.ru","Не определено","978","978","0.005112474437627812","2.857873210633947","00:03:00","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/muzhskie/","https://tempus.ru/catalog/watches/muzhskie/wr30m/tsifrovoy/","Яндекс","Не определено","969","969","0.0041279669762641896","2.3911248710010318","00:01:55","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/udaroprochnost/","Дзен","Не определено","960","960","0.003125","2.8520833333333333","00:02:59","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/udaroprochnost/","mail.ru","Не определено","949","949","0.0031612223393045315","2.8830347734457322","00:03:00","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/filter/color-is-zheltoe-zoloto/apply/","Яндекс","Не определено","944","944","0.0031779661016949155","2.3633474576271185","00:01:47","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/","Дзен","Не определено","942","942","0.003184713375796179","2.8471337579617835","00:03:01","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/","mail.ru","Не определено","936","936","0.0","2.8856837606837606","00:03:12","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/vodonepronicaemye/ehlektronnye/","Дзен","Не определено","933","932","0.0021436227224008574","2.8585209003215435","00:03:01","0","0.0","0.0"
